Name,Category,Website,Frontend,Backend,Infrastructure,Functional Programming
n8n,"Developer Tools, Data & Infrastructure",https://n8n.io,Vue.js,"Node.js, TypeScript",AWS,None
Parallel Web Systems,"Developer Tools, Data & Infrastructure",https://parallel.com,React,Go,AWS,None
Pierre Computer,"Developer Tools, Data & Infrastructure",https://pierre.co,React,Go,AWS,None
PostHog,"Developer Tools, Data & Infrastructure",https://posthog.com,React,"Python, Django",AWS,None
Replit,"Developer Tools, Data & Infrastructure",https://replit.com,React,"Go, Python, Nix",GCP,None
Supabase,"Developer Tools, Data & Infrastructure",https://supabase.com,React,"Elixir, Go",AWS,Elixir
Temporal,"Developer Tools, Data & Infrastructure",https://temporal.io,React,Go,AWS,None
Turbopuffer,"Developer Tools, Data & Infrastructure",https://turbopuffer.com,React,Rust,AWS,None
Vercel,"Developer Tools, Data & Infrastructure",https://vercel.com,React/Next.js,"Node.js, Go",AWS,None
WorkOS,"Developer Tools, Data & Infrastructure",https://workos.com,React,"TypeScript, Node.js",AWS,None
Anduril,"Robotics, Aerospace & Defense",https://www.anduril.com,React,"C++, Rust, Go",AWS,None
Applied Intuition,"Robotics, Aerospace & Defense",https://www.appliedintuition.com,React,"C++, Python",AWS,None
Bedrock Robotics,"Robotics, Aerospace & Defense",https://www.bedrock.com,React,"C++, Python",AWS,None
Figure,"Robotics, Aerospace & Defense",https://figure.ai,React,"C++, Python",AWS,None
Helsing,"Robotics, Aerospace & Defense",https://helsing.ai,React,"Rust, Python, C++",AWS,None
Physical Intelligence,"Robotics, Aerospace & Defense",https://www.physicalintelligence.company,React,"Python, C++",AWS,None
Saronic,"Robotics, Aerospace & Defense",https://www.saronic.com,React,"C++, Python",AWS,None
Shield AI,"Robotics, Aerospace & Defense",https://shield.ai,React,"C++, Python",AWS,None
Skild,"Robotics, Aerospace & Defense",https://skild.ai,React,"Python, C++",AWS,None
SpaceX,"Robotics, Aerospace & Defense",https://www.spacex.com,"Angular, React","C++, Python",Bare Metal,None
Sunday Robotics,"Robotics, Aerospace & Defense",https://sundayrobotics.com,React,"C++, Python",AWS,None
Tesla,"Robotics, Aerospace & Defense",https://www.tesla.com,React,"C++, Python","Bare Metal, AWS",None
Waymo,"Robotics, Aerospace & Defense",https://waymo.com,React,"C++, Python",GCP,None
Airwallex,Fintech & Business Operations,https://www.airwallex.com,React,"Java, Kotlin","AWS, GCP",None
Deel,Fintech & Business Operations,https://www.deel.com,React,"Node.js, Python",AWS,None
Kalshi,Fintech & Business Operations,https://kalshi.com,React,"OCaml, Python",AWS,OCaml
Mercury,Fintech & Business Operations,https://mercury.com,React,Haskell,AWS,Haskell
Polymarket,Fintech & Business Operations,https://polymarket.com,React,"Go, Python",AWS,None
Ramp,Fintech & Business Operations,https://ramp.com,React,Python,AWS,None
Revolut,Fintech & Business Operations,https://www.revolut.com,React,"Java, Scala",GCP,Scala
Rippling,Fintech & Business Operations,https://www.rippling.com,React,Python,AWS,None
Stripe,Fintech & Business Operations,https://stripe.com,React,Ruby,AWS,None
Vanta,Fintech & Business Operations,https://www.vanta.com,React,"Go, Node.js",AWS,None
Airbnb,"Consumer, Collaboration & Marketplaces",https://www.airbnb.com,React,"Java, Ruby",AWS,None
Figma,"Consumer, Collaboration & Marketplaces",https://www.figma.com,React,"C++, Rust",AWS,None
Handshake,"Consumer, Collaboration & Marketplaces",https://joinhandshake.com,React,"Ruby on Rails, Go",GCP,None
Mercor,"Consumer, Collaboration & Marketplaces",https://mercor.com,React,"Python, Node.js",AWS,None
Notion,"Consumer, Collaboration & Marketplaces",https://www.notion.so,React,"Node.js, Go",AWS,None
Periodic Labs,"Consumer, Collaboration & Marketplaces",https://periodiclabs.com,React,Python,AWS,None
Shopify,"Consumer, Collaboration & Marketplaces",https://www.shopify.com,React,Ruby on Rails,GCP,None
Whatnot,"Consumer, Collaboration & Marketplaces",https://www.whatnot.com,React,"Python, Elixir",AWS,Elixir
Google,Tech Giants,https://about.google,"Angular, React","C++, Java, Python, Go",GCP,None
NVIDIA,Tech Giants,https://www.nvidia.com,"React, Angular","C++, Python",Bare Metal,None
Palantir,Tech Giants,https://www.palantir.com,React,"Java, Go",AWS,None
